Organisasjons nr.,
830301402,
816300622,
920713378,
995251094,
915773974,
991977392,
990110077,
996207935,
964042721,
989214071,
917441499,
918874224,
922017433,
995767813,
920954278,
995221608,
919519010,
980527395,
994086715,
991866019,
979467249,
985182744,
917351538,
921875533,
890412882,
921707134,
991776524,
914560365,
997765494,
938806888,
984785151,
917367655,
983089771,
987372451,
913099265,
987747633,
921167695,
922633452,
992093994,
890139892,
927384302,
987665882,
979725264,
886897502,
811731242,
980412024,
996419797,
987619295,
887504822,
884744342,
981120973,
966308141,
983971636,
927613298,
918713727,
997935187,
864952992,
812878042,
987780657,
920415288,
823620802,
994717286,
910164791,
946295566,
994618520,
923016007,
979494009,
938712441,
944588132,
985621519,
939984194,
920290922,
975955885,
945811714,
920854346,
864965962,
970148698,
940152496,
914370094,
877000982,
945624809,
982161002,
917147094,
919117060,
977518369,
911866773,
989205544,
929292065,
968554964,
924957034,
983044778,
924572051,
932059150,
916823525,
999178979,
998593956,
983887457,
889640782,
971525681,
974761211,
974718936,
897079232,
954679721,
991780750,
940875560,
918316760,
940380014,
940493021,
988412120,
971526378,
961181399,
964675279,
958038976,
979485417,
984969872,
919666102,
979151950,
888380892,
951485586,
911629283,
814235432,
984438524,
964948798,
959908214,
964966842,
920125298,
980358380,
964338442,
964968330,
964948232,
983439977,
832477982,
922789193,
990513449,
976239997,
993965340,
964981337,
988913898,
922183872,
964968063,
948164256,
986088695,
941139787,
948350823,
919213566,
947588648,
946530859,
925604828,
931070533,
981038223,
913470478,
962378064,
995646137,
964180644,
925787205,
985198292,
985822964,
945851910,
983338917,
935478715,
912399095,
999227899,
940208580,
914224314,
940244145,
999592686,
998652405,
996384977,
974785617,
917082308,
914152283,
991455671,
940231531,
871579792,
971052554,
913059425,
864993982,
976085817,
975991768,
990643741,
972417793,
986128433,
971527765,
995710757,
938795592,
995352699,
980557707,
994429272,
993606650,
961147867,
831373962,
922741972,
938548560,
964338531,
988594024,
997273826,
985825882,
927473968,
962388108,
916218753,
927499053,
976694430,
911608782,
922716552,
927678594,
974541122,
946944483,
918309896,
976543807,
990699666,
874538892,
883156412,
964983380,
983495400,
984504942,
964965870,
998830443,
929879252,
922385734,
916960190,
989695975,
970490361,
992765828,
844458312,
932186497,
917957134,
991314113,
892237832,
977203287,
870166362,
915433073,
914120349,
921397704,
981313046,
995268841,
979803125,
971130776,
914864445,
945452676,
977000874,
981524594,
990093016,
970542493,
976999800,
960936620,
940027365,
972418013,
925047686,
964979723,
974781255,
834210622,
985228825,
982547822,
970937099,
979356528,
913460715,
995610760,
995082454,
989023578,
969952890,
925438367,
959318166,
976567897,
923259961,
986678298,
991966668,
964983291,
920314767,
995232456,
914438276,
976000439,
991253920,
977511402,
964966397,
958814968,
979685947,
819854432,
984468970,
954475492,
914664292,
966710349,
943574537,
980524493,
920319173,
825046992,
916390297,
919875038,
915263836,
958244819,
814513572,
919400404,
921348312,
930970719,
930152366,
912349403,
948260484,
982508517,
997629485,
914766451,
916074174,
984266898,
987688335,
915933386,
987255684,
915008615,
915106900,
971003936,
913009622,
912713962,
920517846,
980953343,
970903968,
938993335,
988312495,
816779952,
916158378,
915191096,
929538366,
913244990,
998807867,
995635607,
936560288,
944336141,
914888646,
920988857,
979364857,
920292682,
914328888,
911583011,
988054313,
928992586,
919062223,
818930062,
929012836,
925775908,
917368007,
922169063,
970166777,
998081432,
995169266,
929317769,
977465478,
977074010,
988300403,
917254532,
993763276,
977186889,
974761467,
926789414,
948401681,
919034874,
914006813,
999148603,
971578807,
982529786,
971559918,
980211282,
983901867,
963558406,
979529805,
820140362,
936575668,
818066872,
870167962,
974761424,
952603779,
971524545,
970011994,
920015042,
976204034,
960709985,
920008259,
982791952,
982456479,
917251770,
918591338,
918106030,
919889918,
915498582,
995955334,
932384469,
991825827,
921721722,
996123847,
923004114,
911831880,
974760223,
915933149,
986252932,
974788985,
974760282,
974760983,
867668292,
971277882,
988681954,
984851006,
914782007,
995475383,
914309514,
984195796,
945114878,
977000114,
918772693,
939849831,
928474410,
980650383,
921234554,
984054408,
986372741,
933277461,
921590040,
971574747,
914128307,
988982342,
930923869,
987265930,
932971917,
975374939,
911898411,
958958455,
912817806,
864994032,
977018110,
989517627,
982375630,
996460320,
988682462,
916938640,
988776270,
885637892,
918320741,
983781233,
917081859,
966861320,
877154602,
970062777,
944227121,
981963849,
964948054,
964950113,
976986911,
944496394,
979319568,
989997254,
971578262,
926718304,
991682511,
925193755,
928602796,
